time (us), m_acc_x, m_acc_y, m_acc_z, m_mag_x, m_gyr_y, m_gyr_z, m_mag_x, m_mag_y, m_mag_z, l_acc_x, l_acc_y, l_acc_z, l_gyr_x, l_gyr_y, l_gyr_z, l_mag_x, l_mag_y, l_mag_z
233868647, -0.143652, +0.277727, +9.682152, -0.021284, -0.014899, +0.003193, +67.195312, +1.075781, +36.175781, -0.043071, +0.086142, +9.604790, -0.046426, -0.006109, +0.037874, +53.012000, -37.468000, +55.100000,
233969844, -0.057461, +0.244209, +9.739612, -0.027670, -0.013835, +0.005321, +67.910156, +0.000000, +34.453125, -0.150748, +0.143569, +9.647861, -0.048869, -0.007330, +0.039095, +52.432000, -37.294000, +56.028000,
234070997, -0.004788, +0.296881, +9.720459, -0.022349, -0.011706, +0.004257, +67.910156, +0.000000, +34.453125, -0.035892, +0.186640, +9.626325, -0.045204, -0.004887, +0.037874, +53.186000, -37.294000, +55.042000,
234172165, -0.090980, +0.229843, +9.653421, -0.024477, -0.014899, +0.001064, +68.446289, +0.896484, +37.037109, -0.057428, +0.136391, +9.576076, -0.045204, -0.006109, +0.037874, +52.548000, -37.236000, +55.274000,
234273321, -0.086191, +0.234632, +9.797073, -0.027670, -0.013835, -0.001064, +68.446289, +0.896484, +37.037109, -0.114855, +0.114855, +9.619147, -0.042761, -0.003665, +0.041539, +53.244000, -37.468000, +55.854000,
234374492, +0.000000, +0.229843, +9.648633, -0.025541, -0.012771, +0.002128, +67.195312, +0.717187, +36.175781, +0.007178, +0.100499, +9.619147, -0.043982, -0.012217, +0.039095, +52.664000, -38.106000, +55.970000,
234475672, -0.062249, +0.268151, +9.667786, -0.025541, -0.012771, +0.004257, +68.267578, -0.358594, +35.486719, -0.007178, +0.186640, +9.576076, -0.048869, -0.004887, +0.042761, +53.128000, -37.642000, +56.086000,
234576825, -0.052672, +0.253785, +9.816227, -0.024477, -0.012771, +0.002128, +68.267578, -0.358594, +35.486719, -0.179462, +0.136391, +9.626325, -0.042761, -0.000000, +0.035430, +52.896000, -37.062000, +55.100000,
234678019, -0.086191, +0.272939, +9.586383, -0.023413, -0.013835, +0.004257, +68.267578, +0.717187, +36.864844, -0.057428, +0.143569, +9.633504, -0.045204, -0.001222, +0.032987, +53.244000, -37.120000, +55.216000,
234779179, -0.177171, +0.244209, +9.710882, -0.024477, -0.011706, +0.003193, +70.054688, -0.717187, +36.175781, -0.100499, +0.100499, +9.662218, -0.042761, -0.003665, +0.041539, +52.896000, -37.932000, +55.854000,
234880366, -0.119710, +0.311246, +9.844957, -0.026606, -0.012771, +0.003193, +67.731445, +0.179297, +37.037109, -0.028714, +0.186640, +9.626325, -0.041539, -0.012217, +0.043982, +52.664000, -38.106000, +55.622000,
234981637, -0.052672, +0.234632, +9.720459, -0.024477, -0.008514, +0.002128, +68.803711, +1.613672, +37.037109, -0.043071, +0.071785, +9.640682, -0.046426, -0.004887, +0.031765, +52.838000, -37.874000, +55.274000,
235082798, -0.076614, +0.201113, +9.749189, -0.024477, -0.011706, +0.004257, +67.016602, +0.537891, +37.381641, -0.071785, +0.107677, +9.662218, -0.047647, -0.009774, +0.039095, +52.954000, -37.236000, +55.854000,
235183949, -0.119710, +0.229843, +9.773131, -0.024477, -0.011706, +0.001064, +67.016602, +0.537891, +37.381641, -0.064606, +0.100499, +9.583255, -0.041539, +0.001222, +0.041539, +52.664000, -37.526000, +56.144000,
235285107, -0.119710, +0.248997, +9.720459, -0.023413, -0.010642, +0.002128, +67.731445, +1.255078, +38.070703, -0.071785, +0.093320, +9.633504, -0.040317, -0.009774, +0.028100, +53.128000, -37.874000, +56.144000,
235386293, -0.062249, +0.253785, +9.653421, -0.025541, -0.011706, +0.006385, +67.731445, +1.255078, +38.070703, -0.057428, +0.172283, +9.590433, -0.043982, -0.004887, +0.028100, +53.418000, -37.642000, +56.608000,
235487467, -0.047884, +0.282516, +9.706094, -0.024477, -0.015963, +0.000000, +68.803711, +0.537891, +36.348047, -0.064606, +0.186640, +9.590433, -0.041539, -0.003665, +0.032987, +53.012000, -37.584000, +56.028000,
235588635, -0.047884, +0.282516, +9.706094, -0.024477, -0.015963, +0.000000, +68.803711, +0.537891, +36.348047, -0.086142, +0.186640, +9.640682, -0.039095, -0.002443, +0.035430, +52.954000, -37.410000, +55.100000,
235689790, -0.057461, +0.205901, +9.581595, -0.024477, -0.012771, +0.001064, +68.803711, +0.537891, +36.348047, -0.100499, +0.150748, +9.576076, -0.041539, -0.013439, +0.035430, +52.490000, -37.758000, +56.144000,
235790941, -0.052672, +0.268151, +9.696517, -0.024477, -0.012771, +0.001064, +68.803711, -0.896484, +37.726172, -0.078963, +0.143569, +9.619147, -0.047647, -0.009774, +0.039095, +52.258000, -37.352000, +56.376000,
235892098, -0.014365, +0.201113, +9.734824, -0.028734, -0.012771, +0.002128, +68.803711, -0.896484, +37.726172, -0.071785, +0.150748, +9.633504, -0.041539, -0.001222, +0.035430, +53.070000, -37.410000, +55.332000,
235993252, -0.047884, +0.282516, +9.682152, -0.025541, -0.012771, +0.001064, +68.446289, +0.537891, +36.692578, -0.064606, +0.150748, +9.676575, -0.042761, -0.003665, +0.040317, +53.186000, -37.468000, +55.390000,
236094394, -0.081403, +0.335188, +9.686940, -0.027670, -0.014899, +0.004257, +68.446289, +0.537891, +36.692578, -0.043071, +0.078963, +9.597611, -0.045204, -0.007330, +0.035430, +52.606000, -37.294000, +55.216000,
236195540, -0.019154, +0.301669, +9.706094, -0.024477, -0.014899, +0.003193, +68.446289, +0.537891, +36.692578, -0.043071, +0.136391, +9.554541, -0.045204, -0.008552, +0.037874, +52.954000, -37.004000, +56.028000,
236296679, -0.138864, +0.172383, +9.768343, -0.024477, -0.013835, +0.002128, +69.697266, +0.717187, +36.520313, -0.071785, +0.165105, +9.626325, -0.039095, -0.008552, +0.034208, +52.606000, -37.352000, +55.448000,
236397857, +0.014365, +0.306458, +9.801862, -0.029798, -0.013835, +0.002128, +69.697266, +0.717187, +36.520313, -0.050249, +0.165105, +9.597611, -0.045204, -0.007330, +0.037874, +53.070000, -37.294000, +56.260000,
236499020, -0.114922, +0.253785, +9.706094, -0.028734, -0.006385, +0.004257, +68.803711, +1.972266, +36.003516, -0.050249, +0.122034, +9.647861, -0.048869, -0.006109, +0.041539, +52.664000, -37.410000, +56.086000,
236600171, -0.067038, +0.339977, +9.844957, -0.025541, -0.014899, +0.001064, +68.803711, +0.896484, +37.381641, -0.107677, +0.136391, +9.669396, -0.043982, -0.003665, +0.034208, +51.910000, -37.584000, +56.086000,
236701326, -0.095768, +0.225055, +9.821015, -0.027670, -0.010642, +0.001064, +67.910156, +0.358594, +36.864844, -0.057428, +0.100499, +9.554541, -0.043982, -0.002443, +0.036652, +52.548000, -37.700000, +55.738000,
236802583, -0.095768, +0.258574, +9.806650, -0.024477, -0.012771, +0.002128, +67.910156, +0.358594, +36.864844, -0.107677, +0.071785, +9.705288, -0.047647, -0.004887, +0.043982, +52.490000, -37.352000, +56.202000,
236903882, -0.105345, +0.272939, +9.648633, -0.025541, -0.012771, +0.004257, +68.982422, +1.434375, +36.520313, -0.014357, +0.122034, +9.640682, -0.041539, -0.006109, +0.041539, +52.780000, -37.294000, +55.912000,
237005041, -0.019154, +0.354342, +9.629479, -0.024477, -0.014899, +0.003193, +68.088867, +0.537891, +37.381641, -0.043071, +0.136391, +9.561719, -0.046426, -0.006109, +0.031765, +53.244000, -37.410000, +55.796000,
237106204, -0.071826, +0.263362, +9.710882, -0.025541, -0.014899, -0.001064, +70.590820, +0.537891, +36.348047, -0.035892, +0.093320, +9.633504, -0.045204, -0.003665, +0.034208, +52.432000, -37.468000, +56.144000,
237207353, -0.038307, +0.272939, +9.749189, -0.028734, -0.012771, +0.000000, +68.982422, +0.717187, +37.209375, -0.093320, +0.143569, +9.518648, -0.041539, -0.008552, +0.037874, +52.722000, -37.700000, +56.318000,
237308541, -0.138864, +0.196325, +9.797073, -0.026606, -0.011706, +0.000000, +68.982422, +0.717187, +37.209375, -0.129212, +0.122034, +9.633504, -0.040317, -0.003665, +0.032987, +53.186000, -37.004000, +56.144000,
237409706, -0.100556, +0.268151, +9.686940, -0.026606, -0.011706, +0.002128, +68.446289, +1.972266, +37.037109, -0.035892, +0.064606, +9.669396, -0.045204, -0.008552, +0.035430, +52.954000, -37.236000, +56.376000,
237510878, -0.095768, +0.234632, +9.768343, -0.027670, -0.013835, +0.000000, +67.731445, +0.179297, +36.003516, -0.078963, +0.035892, +9.662218, -0.041539, -0.006109, +0.041539, +52.490000, -37.352000, +55.622000,
237612050, -0.047884, +0.268151, +9.777920, -0.025541, -0.010642, +0.003193, +69.339844, +0.717187, +35.831250, -0.093320, +0.129212, +9.568898, -0.051313, -0.002443, +0.039095, +52.722000, -37.410000, +56.028000,
237713205, -0.095768, +0.282516, +9.777920, -0.023413, -0.012771, +0.002128, +69.339844, +0.717187, +35.831250, -0.050249, +0.078963, +9.511470, -0.047647, -0.009774, +0.035430, +52.896000, -37.352000, +56.550000,
237814391, -0.100556, +0.344765, +9.629479, -0.023413, -0.011706, +0.001064, +69.339844, +0.717187, +35.831250, -0.136391, +0.057428, +9.554541, -0.047647, -0.006109, +0.036652, +53.418000, -37.178000, +55.042000,
237915549, -0.057461, +0.272939, +9.773131, -0.026606, -0.012771, +0.001064, +69.518555, -0.179297, +39.448828, -0.129212, +0.150748, +9.561719, -0.045204, -0.006109, +0.041539, +52.722000, -37.874000, +55.564000,
238016724, -0.095768, +0.306458, +9.648633, -0.024477, -0.011706, +0.002128, +69.518555, -0.179297, +39.448828, -0.086142, +0.136391, +9.626325, -0.048869, -0.007330, +0.039095, +52.954000, -37.236000, +56.724000,
238117929, -0.110133, +0.325611, +9.753978, -0.027670, -0.011706, +0.001064, +69.161133, +0.896484, +35.658984, -0.000000, +0.143569, +9.590433, -0.047647, -0.009774, +0.036652, +52.548000, -37.178000, +55.506000,
238219090, -0.067038, +0.229843, +9.643844, -0.026606, -0.012771, +0.004257, +69.161133, +0.896484, +35.658984, -0.043071, +0.165105, +9.604790, -0.045204, -0.003665, +0.036652, +53.012000, -37.410000, +56.028000,
238320265, -0.110133, +0.253785, +9.835380, -0.025541, -0.013835, +0.000000, +69.518555, +0.896484, +36.003516, -0.064606, +0.078963, +9.655039, -0.041539, +0.002443, +0.040317, +53.592000, -37.294000, +55.274000,
238421460, -0.033519, +0.263362, +9.907206, -0.022349, -0.013835, +0.001064, +69.518555, +0.896484, +36.003516, -0.050249, +0.157926, +9.576076, -0.050091, -0.000000, +0.032987, +52.896000, -37.990000, +56.260000,
238522616, -0.043096, +0.248997, +9.768343, -0.025541, -0.009578, +0.005321, +67.910156, +1.434375, +35.486719, -0.043071, +0.100499, +9.604790, -0.043982, -0.003665, +0.037874, +52.838000, -38.164000, +55.042000,
238623781, -0.129287, +0.268151, +9.696517, -0.024477, -0.011706, +0.001064, +68.446289, +0.537891, +37.037109, -0.093320, +0.071785, +9.583255, -0.043982, -0.004887, +0.040317, +52.780000, -37.642000, +55.100000,
238724942, -0.071826, +0.287304, +9.734824, -0.025541, -0.012771, +0.003193, +67.731445, +3.048047, +37.037109, -0.035892, +0.150748, +9.662218, -0.045204, -0.007330, +0.039095, +52.548000, -37.062000, +55.506000,
238826223, -0.038307, +0.244209, +9.720459, -0.028734, -0.011706, +0.001064, +69.697266, +1.434375, +35.831250, -0.064606, +0.035892, +9.647861, -0.043982, -0.007330, +0.037874, +52.838000, -37.468000, +55.680000,
238927398, -0.081403, +0.287304, +9.749189, -0.025541, -0.012771, +0.000000, +69.697266, +1.434375, +35.831250, -0.064606, +0.122034, +9.611968, -0.050091, -0.003665, +0.036652, +53.186000, -37.584000, +56.376000,
239028588, -0.076614, +0.201113, +9.806650, -0.025541, -0.011706, +0.002128, +68.625000, +1.075781, +36.520313, -0.100499, +0.193819, +9.698110, -0.045204, -0.007330, +0.036652, +53.476000, -37.758000, +55.332000,
239129771, -0.067038, +0.301669, +9.605537, -0.029798, -0.011706, +0.003193, +70.054688, +0.717187, +36.520313, -0.035892, +0.086142, +9.590433, -0.046426, -0.000000, +0.037874, +53.360000, -37.004000, +55.564000,
239230919, -0.023942, +0.272939, +9.782708, -0.024477, -0.011706, +0.004257, +68.267578, +1.434375, +36.520313, -0.086142, +0.136391, +9.640682, -0.046426, -0.003665, +0.035430, +53.708000, -36.424000, +54.984000,
239332071, -0.114922, +0.335188, +9.782708, -0.024477, -0.012771, +0.002128, +68.446289, +0.896484, +35.658984, -0.007178, +0.193819, +9.647861, -0.048869, -0.006109, +0.036652, +53.012000, -37.178000, +56.144000,
239433210, -0.081403, +0.268151, +9.868899, -0.025541, -0.013835, +0.002128, +68.446289, +0.896484, +35.658984, -0.122034, +0.122034, +9.655039, -0.048869, +0.003665, +0.036652, +53.070000, -37.584000, +56.202000,
239534370, -0.071826, +0.244209, +9.643844, -0.022349, -0.012771, -0.001064, +69.161133, +0.896484, +37.037109, -0.021535, +0.136391, +9.568898, -0.042761, -0.007330, +0.041539, +53.012000, -37.004000, +55.970000,
239635517, -0.047884, +0.215478, +9.643844, -0.026606, -0.010642, +0.003193, +69.161133, +0.896484, +37.037109, -0.071785, +0.150748, +9.626325, -0.036652, -0.010996, +0.036652, +53.418000, -37.874000, +55.912000,
239736669, -0.052672, +0.229843, +9.777920, -0.025541, -0.017028, +0.003193, +68.267578, +0.358594, +37.553906, -0.043071, +0.193819, +9.640682, -0.048869, -0.003665, +0.036652, +53.244000, -37.352000, +55.100000,
239837840, -0.100556, +0.320823, +9.696517, -0.025541, -0.013835, +0.000000, +68.267578, +0.358594, +37.553906, -0.078963, +0.229711, +9.597611, -0.035430, -0.006109, +0.034208, +53.534000, -37.468000, +56.028000,
239938993, -0.086191, +0.296881, +9.720459, -0.023413, -0.013835, +0.002128, +68.446289, +0.896484, +36.003516, -0.035892, +0.100499, +9.626325, -0.043982, -0.003665, +0.032987, +52.606000, -37.584000, +56.028000,
240040140, -0.038307, +0.234632, +9.749189, -0.024477, -0.011706, +0.001064, +68.446289, +0.896484, +36.003516, -0.028714, +0.143569, +9.611968, -0.041539, -0.001222, +0.039095, +53.070000, -37.178000, +55.274000,
240141304, -0.033519, +0.191536, +9.715670, -0.025541, -0.011706, +0.005321, +68.446289, +0.896484, +36.003516, -0.100499, +0.165105, +9.662218, -0.042761, -0.001222, +0.034208, +53.186000, -37.758000, +55.390000,
240242444, +0.023942, +0.181959, +9.734824, -0.025541, -0.010642, +0.004257, +68.625000, +1.434375, +36.175781, -0.071785, +0.028714, +9.640682, -0.043982, -0.009774, +0.035430, +52.896000, -36.830000, +56.144000,
240343585, -0.081403, +0.296881, +9.710882, -0.024477, -0.011706, +0.004257, +68.625000, +1.434375, +36.175781, -0.050249, +0.143569, +9.611968, -0.042761, -0.008552, +0.036652, +53.128000, -37.526000, +55.738000,
240444734, -0.043096, +0.253785, +9.806650, -0.027670, -0.012771, +0.002128, +68.803711, +0.896484, +36.348047, -0.078963, +0.057428, +9.583255, -0.047647, -0.004887, +0.036652, +52.722000, -37.526000, +55.100000,
240545887, -0.110133, +0.248997, +9.763554, -0.027670, -0.012771, +0.001064, +68.803711, +0.896484, +36.348047, -0.093320, +0.086142, +9.525827, -0.046426, -0.001222, +0.043982, +53.302000, -37.874000, +55.100000,
240647029, -0.057461, +0.234632, +9.706094, -0.028734, -0.015963, +0.001064, +68.446289, +1.613672, +35.658984, -0.057428, +0.093320, +9.640682, -0.046426, -0.006109, +0.043982, +52.780000, -37.642000, +55.970000,
240748287, -0.076614, +0.316035, +9.653421, -0.024477, -0.011706, +0.001064, +68.446289, +2.330859, +37.381641, -0.107677, +0.057428, +9.712467, -0.048869, +0.002443, +0.034208, +52.722000, -37.700000, +55.274000,
240849428, -0.028730, +0.292093, +9.730036, -0.024477, -0.012771, +0.002128, +67.910156, +0.000000, +36.175781, -0.057428, +0.215354, +9.611968, -0.048869, -0.007330, +0.039095, +52.838000, -36.540000, +55.970000,
240950594, -0.009577, +0.263362, +9.667786, -0.023413, -0.009578, +0.000000, +69.518555, +0.179297, +35.658984, -0.107677, +0.157926, +9.611968, -0.042761, -0.009774, +0.039095, +53.708000, -37.584000, +55.680000,
241051760, -0.033519, +0.248997, +9.562441, -0.026606, -0.015963, +0.003193, +69.518555, +0.179297, +35.658984, -0.136391, +0.186640, +9.626325, -0.045204, -0.006109, +0.037874, +52.954000, -37.178000, +55.390000,
241152902, -0.047884, +0.292093, +9.643844, -0.027670, -0.014899, +0.003193, +67.731445, +0.537891, +36.348047, -0.064606, +0.150748, +9.583255, -0.043982, -0.002443, +0.036652, +53.128000, -36.888000, +55.506000,
241254058, +0.038307, +0.263362, +9.672575, -0.022349, -0.013835, +0.002128, +68.803711, +1.255078, +35.658984, -0.021535, +0.143569, +9.719645, -0.046426, -0.008552, +0.036652, +53.534000, -36.830000, +55.970000,
241355207, -0.067038, +0.244209, +9.615114, -0.028734, -0.012771, +0.003193, +68.803711, +2.330859, +37.037109, -0.100499, +0.129212, +9.611968, -0.042761, -0.002443, +0.039095, +53.186000, -37.932000, +55.042000,
241456359, -0.110133, +0.282516, +9.782708, -0.023413, -0.010642, +0.004257, +68.803711, +2.330859, +37.037109, -0.122034, +0.157926, +9.662218, -0.050091, -0.010996, +0.040317, +53.244000, -38.338000, +55.912000,
241557519, -0.134075, +0.277727, +9.696517, -0.027670, -0.011706, +0.001064, +67.374023, +1.255078, +37.381641, -0.035892, +0.100499, +9.719645, -0.052534, +0.002443, +0.040317, +53.186000, -37.758000, +55.854000,
241658692, -0.119710, +0.282516, +9.667786, -0.025541, -0.014899, +0.004257, +67.374023, +1.255078, +37.381641, -0.057428, +0.229711, +9.647861, -0.046426, -0.004887, +0.037874, +53.476000, -37.700000, +56.086000,
241759850, -0.076614, +0.277727, +9.682152, -0.028734, -0.013835, +0.003193, +68.088867, +1.613672, +34.969922, -0.043071, +0.050249, +9.626325, -0.043982, -0.006109, +0.039095, +53.302000, -37.874000, +56.492000,
241861018, -0.052672, +0.239420, +9.710882, -0.026606, -0.014899, +0.003193, +68.803711, +0.179297, +36.348047, -0.129212, +0.179462, +9.640682, -0.045204, -0.004887, +0.039095, +53.128000, -37.932000, +55.738000,
241962160, -0.143652, +0.258574, +9.787496, -0.024477, -0.011706, +0.003193, +69.697266, +0.717187, +37.209375, -0.071785, +0.114855, +9.640682, -0.045204, -0.003665, +0.036652, +52.722000, -37.178000, +56.724000,
242063336, -0.071826, +0.330400, +9.648633, -0.024477, -0.010642, +0.001064, +68.267578, +0.000000, +37.209375, +0.007178, +0.200997, +9.633504, -0.043982, +0.002443, +0.031765, +53.012000, -36.598000, +55.970000,
242164473, -0.119710, +0.263362, +9.658209, -0.025541, -0.014899, +0.001064, +68.267578, +0.000000, +37.209375, -0.057428, +0.093320, +9.597611, -0.048869, +0.006109, +0.036652, +53.070000, -37.236000, +55.622000,
242265613, -0.129287, +0.287304, +9.725247, -0.024477, -0.014899, +0.001064, +70.054688, +0.717187, +36.175781, -0.122034, +0.093320, +9.619147, -0.041539, -0.004887, +0.036652, +53.186000, -37.642000, +56.492000,
242366765, -0.062249, +0.263362, +9.691728, -0.026606, -0.011706, +0.002128, +70.054688, +0.717187, +36.175781, -0.043071, +0.172283, +9.619147, -0.043982, -0.004887, +0.039095, +53.360000, -37.236000, +56.434000,
242468183, -0.052672, +0.301669, +9.557653, -0.027670, -0.013835, +0.000000, +69.697266, +1.075781, +36.175781, -0.136391, +0.100499, +9.640682, -0.043982, -0.000000, +0.039095, +52.954000, -37.178000, +55.564000,
242569421, -0.076614, +0.335188, +9.777920, -0.027670, -0.013835, +0.002128, +69.697266, +1.075781, +36.175781, -0.093320, +0.100499, +9.633504, -0.042761, -0.009774, +0.032987, +53.128000, -37.236000, +56.028000,
242670717, -0.033519, +0.234632, +9.840169, -0.026606, -0.010642, +0.001064, +69.697266, +1.075781, +36.175781, -0.078963, +0.114855, +9.676575, -0.048869, -0.010996, +0.032987, +52.954000, -36.772000, +55.970000,
242771908, -0.023942, +0.316035, +9.648633, -0.022349, -0.012771, +0.003193, +69.697266, +2.510156, +36.864844, -0.078963, +0.200997, +9.683753, -0.039095, -0.001222, +0.035430, +53.128000, -37.932000, +55.680000,
242873069, -0.033519, +0.253785, +9.725247, -0.027670, -0.013835, +0.002128, +69.697266, +2.510156, +36.864844, -0.114855, +0.093320, +9.561719, -0.041539, -0.003665, +0.037874, +52.954000, -36.946000, +55.622000,
242974256, -0.014365, +0.229843, +9.605537, -0.025541, -0.011706, +0.003193, +69.697266, -0.717187, +35.486719, -0.064606, -0.007178, +9.676575, -0.047647, -0.006109, +0.034208, +53.360000, -37.642000, +55.448000,
243075449, -0.134075, +0.225055, +9.696517, -0.026606, -0.015963, +0.003193, +68.267578, -0.717187, +36.864844, -0.057428, +0.193819, +9.662218, -0.040317, -0.004887, +0.032987, +53.012000, -37.700000, +54.926000,
243176635, -0.038307, +0.239420, +9.629479, -0.025541, -0.011706, +0.002128, +68.803711, +0.896484, +38.070703, -0.057428, +0.107677, +9.640682, -0.043982, -0.001222, +0.032987, +53.186000, -37.584000, +56.028000,
243277822, -0.119710, +0.272939, +9.725247, -0.024477, -0.010642, +0.003193, +68.803711, +0.896484, +38.070703, -0.064606, +0.129212, +9.655039, -0.048869, -0.008552, +0.035430, +52.780000, -37.526000, +55.680000,
243378976, +0.014365, +0.306458, +9.854534, -0.023413, -0.014899, +0.002128, +68.267578, +1.434375, +37.209375, -0.064606, +0.100499, +9.611968, -0.045204, -0.004887, +0.034208, +53.070000, -37.700000, +55.796000,
243480135, +0.014365, +0.277727, +9.605537, -0.029798, -0.011706, +0.001064, +68.267578, +0.717187, +38.587500, -0.107677, +0.114855, +9.583255, -0.045204, -0.003665, +0.040317, +53.824000, -37.410000, +55.970000,
243581302, -0.004788, +0.239420, +9.615114, -0.026606, -0.012771, +0.001064, +68.625000, +0.358594, +36.520313, -0.057428, +0.093320, +9.633504, -0.042761, +0.003665, +0.032987, +52.780000, -37.468000, +55.506000,
243682457, -0.004788, +0.282516, +9.682152, -0.025541, -0.012771, +0.002128, +68.803711, +0.537891, +36.692578, -0.078963, +0.136391, +9.633504, -0.041539, -0.003665, +0.031765, +53.070000, -37.468000, +55.158000,
243783626, -0.105345, +0.234632, +9.730036, -0.024477, -0.011706, +0.002128, +68.803711, +0.537891, +36.692578, -0.043071, +0.107677, +9.647861, -0.045204, -0.001222, +0.034208, +52.722000, -37.236000, +56.318000,
243884778, -0.062249, +0.292093, +9.701305, -0.023413, -0.014899, +0.003193, +69.161133, -0.537891, +36.692578, -0.136391, +0.129212, +9.590433, -0.047647, -0.009774, +0.036652, +53.418000, -37.352000, +55.854000,
243985946, -0.086191, +0.292093, +9.682152, -0.025541, -0.013835, +0.005321, +70.412109, -0.717187, +36.864844, -0.150748, +0.143569, +9.748359, -0.045204, -0.002443, +0.036652, +52.780000, -37.816000, +55.796000,
244087123, -0.009577, +0.220267, +9.739612, -0.028734, -0.012771, +0.001064, +67.731445, +0.537891, +37.726172, -0.035892, +0.172283, +9.626325, -0.040317, -0.001222, +0.041539, +53.012000, -37.584000, +55.854000,
244188300, -0.071826, +0.253785, +9.753978, -0.022349, -0.012771, +0.003193, +69.697266, +0.717187, +36.520313, -0.057428, +0.071785, +9.698110, -0.039095, -0.003665, +0.037874, +53.012000, -36.830000, +55.738000,
244289466, -0.071826, +0.296881, +9.725247, -0.027670, -0.013835, +0.003193, +69.697266, +0.717187, +36.520313, -0.107677, +0.143569, +9.597611, -0.042761, -0.012217, +0.035430, +53.534000, -36.946000, +55.854000,
244390613, -0.043096, +0.124498, +9.672575, -0.024477, -0.015963, +0.003193, +69.339844, +1.075781, +36.520313, -0.100499, +0.136391, +9.604790, -0.048869, -0.002443, +0.031765, +52.896000, -37.236000, +56.376000,
244491782, -0.076614, +0.272939, +9.720459, -0.026606, -0.009578, +0.005321, +67.552734, +0.358594, +37.209375, -0.107677, +0.071785, +9.655039, -0.043982, -0.004887, +0.036652, +53.012000, -37.004000, +55.912000,
244593038, -0.081403, +0.186748, +9.720459, -0.028734, -0.017028, +0.001064, +70.054688, -0.717187, +37.553906, -0.050249, +0.129212, +9.604790, -0.042761, -0.001222, +0.041539, +52.780000, -37.294000, +56.028000,
244694203, -0.090980, +0.205901, +9.682152, -0.025541, -0.009578, +0.001064, +70.054688, -0.717187, +37.553906, -0.057428, +0.150748, +9.640682, -0.048869, -0.002443, +0.036652, +53.882000, -37.120000, +55.564000,
244795353, -0.023942, +0.258574, +9.821015, -0.026606, -0.011706, +0.002128, +70.054688, -0.717187, +37.553906, -0.078963, +0.078963, +9.676575, -0.041539, -0.006109, +0.037874, +52.954000, -36.772000, +55.622000,
244896505, -0.100556, +0.258574, +9.706094, -0.023413, -0.012771, +0.005321, +69.339844, +0.000000, +36.520313, -0.071785, +0.086142, +9.690932, -0.042761, -0.006109, +0.039095, +53.534000, -37.584000, +55.332000,
244997645, -0.043096, +0.296881, +9.773131, -0.023413, -0.012771, +0.002128, +68.088867, +2.330859, +37.381641, -0.057428, +0.136391, +9.619147, -0.050091, -0.007330, +0.036652, +53.070000, -37.294000, +55.970000,
245098801, -0.019154, +0.320823, +9.572018, -0.025541, -0.012771, +0.001064, +69.518555, +2.689453, +36.692578, -0.093320, +0.186640, +9.583255, -0.052534, -0.000000, +0.039095, +53.012000, -37.062000, +55.564000,
245199941, -0.086191, +0.253785, +9.696517, -0.025541, -0.013835, +0.001064, +70.054688, +1.792969, +36.864844, -0.028714, +0.064606, +9.640682, -0.045204, -0.003665, +0.040317, +53.128000, -37.236000, +55.970000,
245301119, -0.110133, +0.229843, +9.801862, -0.025541, -0.011706, +0.002128, +69.161133, -0.179297, +35.658984, -0.129212, +0.172283, +9.640682, -0.045204, -0.008552, +0.037874, +52.896000, -37.120000, +56.028000,
245402260, -0.043096, +0.220267, +9.552865, -0.024477, -0.013835, +0.003193, +69.161133, -0.179297, +35.658984, -0.114855, +0.114855, +9.604790, -0.048869, +0.002443, +0.037874, +53.476000, -37.352000, +56.318000,
245503397, -0.038307, +0.215478, +9.715670, -0.024477, -0.013835, +0.000000, +68.803711, +0.896484, +36.348047, -0.129212, +0.129212, +9.669396, -0.043982, -0.001222, +0.032987, +53.070000, -37.236000, +55.970000,
245604535, -0.028730, +0.196325, +9.773131, -0.025541, -0.012771, +0.000000, +67.374023, +1.255078, +36.348047, -0.007178, +0.172283, +9.626325, -0.045204, -0.010996, +0.041539, +53.302000, -37.178000, +54.984000,
245705689, +0.000000, +0.301669, +9.624691, -0.026606, -0.011706, +0.002128, +68.625000, +0.358594, +37.553906, -0.035892, +0.150748, +9.662218, -0.047647, +0.002443, +0.032987, +53.302000, -37.352000, +56.144000,
245806830, -0.014365, +0.229843, +9.734824, -0.025541, -0.012771, +0.001064, +69.161133, +0.537891, +36.692578, -0.100499, +0.114855, +9.655039, -0.043982, -0.000000, +0.035430, +52.838000, -37.236000, +55.738000,
245907991, -0.076614, +0.320823, +9.792285, -0.025541, -0.013835, +0.002128, +69.161133, +0.537891, +36.692578, -0.050249, +0.129212, +9.576076, -0.040317, -0.008552, +0.036652, +53.186000, -37.700000, +55.100000,
246009150, -0.181959, +0.277727, +9.682152, -0.026606, -0.012771, +0.002128, +68.088867, +0.537891, +37.381641, -0.050249, +0.150748, +9.626325, -0.045204, -0.009774, +0.041539, +52.896000, -37.120000, +56.144000,
246110295, -0.062249, +0.287304, +9.648633, -0.027670, -0.013835, +0.003193, +68.625000, +0.358594, +35.486719, -0.043071, +0.129212, +9.640682, -0.046426, -0.006109, +0.039095, +53.360000, -36.830000, +55.970000,
