time (us), m_acc_x, m_acc_y, m_acc_z, m_mag_x, m_gyr_y, m_gyr_z, m_mag_x, m_mag_y, m_mag_z, l_acc_x, l_acc_y, l_acc_z, l_gyr_x, l_gyr_y, l_gyr_z, l_mag_x, l_mag_y, l_mag_z
3741312, -0.119710, +0.287304, +9.691728, -0.027670, -0.012771, +0.001064, +69.697266, +2.510156, +37.898438, +0.021535, +0.122034, +9.640682, -0.040317, -0.006109, +0.035430, +53.650000, -37.004000, +56.782000,
3860984, -0.047884, +0.191536, +9.672575, -0.023413, -0.015963, +0.002128, +69.339844, -0.358594, +36.175781, -0.014357, +0.050249, +9.554541, -0.043982, -0.003665, +0.040317, +53.418000, -37.294000, +56.608000,
3962070, -0.033519, +0.239420, +9.682152, -0.026606, -0.011706, +0.004257, +69.339844, -0.358594, +36.175781, -0.021535, +0.086142, +9.655039, -0.043982, -0.008552, +0.030543, +52.896000, -37.236000, +57.130000,
4063135, -0.090980, +0.201113, +9.787496, -0.026606, -0.012771, +0.004257, +67.552734, +1.075781, +36.175781, -0.035892, +0.050249, +9.676575, -0.043982, -0.007330, +0.041539, +53.302000, -37.004000, +56.376000,
4164186, -0.047884, +0.258574, +9.773131, -0.026606, -0.013835, +0.002128, +70.233398, +0.537891, +37.726172, -0.122034, +0.143569, +9.633504, -0.048869, -0.014661, +0.039095, +53.534000, -36.714000, +56.724000,
4265256, -0.081403, +0.263362, +9.792285, -0.027670, -0.014899, +0.002128, +67.731445, +0.179297, +36.003516, -0.050249, +0.057428, +9.554541, -0.045204, -0.010996, +0.032987, +53.708000, -36.830000, +56.840000,
4366310, +0.004788, +0.320823, +9.730036, -0.028734, -0.012771, +0.002128, +67.731445, +0.179297, +34.280859, -0.100499, +0.136391, +9.590433, -0.043982, -0.006109, +0.034208, +53.302000, -37.294000, +56.028000,
4467376, -0.081403, +0.320823, +9.816227, -0.029798, -0.011706, +0.000000, +67.731445, +0.179297, +34.280859, -0.043071, +0.179462, +9.576076, -0.046426, -0.004887, +0.037874, +53.244000, -37.526000, +56.260000,
4568468, -0.081403, +0.320823, +9.816227, -0.029798, -0.011706, +0.000000, +70.233398, +0.896484, +37.726172, -0.014357, +0.157926, +9.676575, -0.051313, -0.014661, +0.034208, +52.896000, -37.062000, +55.680000,
4669538, -0.067038, +0.282516, +9.629479, -0.023413, -0.011706, +0.001064, +68.803711, +0.537891, +35.658984, -0.114855, +0.093320, +9.604790, -0.041539, -0.001222, +0.039095, +53.476000, -37.178000, +56.956000,
4770600, -0.019154, +0.287304, +9.629479, -0.025541, -0.009578, +0.002128, +68.803711, +0.537891, +35.658984, -0.071785, +0.093320, +9.583255, -0.041539, -0.006109, +0.032987, +53.128000, -36.888000, +55.970000,
4871679, -0.019154, +0.292093, +9.734824, -0.025541, -0.012771, +0.003193, +68.088867, +1.613672, +36.003516, -0.114855, +0.129212, +9.561719, -0.047647, -0.007330, +0.037874, +53.708000, -37.120000, +56.550000,
4972727, -0.028730, +0.277727, +9.701305, -0.025541, -0.014899, +0.002128, +68.088867, +1.613672, +36.003516, -0.050249, +0.071785, +9.583255, -0.043982, -0.003665, +0.034208, +53.360000, -37.816000, +57.304000,
